Company,"CIK Code",Ticker,Market,"S&P Index","Russell Index","Bus Street 1","Bus Street 2",City,County,"State Code","State Name","State Region",Zip,"Bus Phone","Parent CIK","Parent Name","SIC Code","SIC Description","NAICS Code","NAICS Description","Filer Act","Audit Opinion Key",Auditor,"Auditor Key","Auditor PCAOB Registration Number","Auditor Affiliate","Auditor Affiliate Key","Auditor Affiliate PCAOB Registration Number","Auditor City","Auditor State Code","Auditor State Name","Auditor State Region","Year Ended Date","Year Ended (Ideal)","Month Ended (Ideal)","Signature Date",Source,"Source Date","Going Concern","Going Concern Issue Key List","Going Concern Issue Phrase List","Total CAMS in Opinion","Accounting Basis","Is Integrated Audit","Is Additional Opinion","Additional Signature Date 1","Additional Signature Date 2","Additional Signature Date 3","Additional Signature Date 4","Additional Signature Date 5","Auditor Since Year","Auditor Since Code","Predecessor Auditor Since Year","Predecessor Auditor Since Code","Filer Status","Fees Fiscal Year Ended","Audit Fees ($)","Non-Audit Fees ($)","Total Fees ($)","Stock Price ($)","Stock Price Date","Market Cap ($)","Financials Date","Revenue ($)","Earnings ($)","Book Value ($)","Assets ($)",,,,,
"FT 12077",2049044,,,,,"C/O FIRST TRUST PORTFOLIOS L.P.","120 EAST LIBERTY DRIVE, SUITE 400",WHEATON,DuPage,IL,ILLINOIS,"US Midwest",60187,"(630) 765-8000",,,,,,,33,557429,"Deloitte & Touche LLP",3,0034,,,,Chicago,IL,ILLINOIS,"US Midwest",2025-03-13,2025,2,2025-03-13,487,2025-03-13,No,,,,"GAAP - US",No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LEGG MASON PARTNERS INVESTMENT TRUST",880366,,,,,"LEGG MASON & CO., LLC","620 EIGHTH AVENUE","NEW YORK","New York",NY,"NEW YORK","US Mid Atlantic",10018,1-877-721-1926,,,,,525990,"Other Financial Vehicles",40,559477,"PricewaterhouseCoopers LLP",1,0238,,,,Baltimore,MD,MARYLAND,"US Mid Atlantic",2025-01-31,2025,01,2025-03-19,N-CSR,2025-03-28,No,,,,"GAAP - US",No,No,,,,,,,,,,,2025,"105,569","43,000","148,569",,,,,,,,,,,,,,
"VICTORY PORTFOLIOS III",908695,,,,,"15935 LA CANTERA PARKWAY","BUILDING TWO","SAN ANTONIO",Bexar,TX,TEXAS,"US Southwest",78256,"(210) 697-3625",,,,,525910,"Open-End Investment Funds",40,563573,"Ernst & Young LLP",2,0042,,,,"San Antonio",TX,TEXAS,"US Southwest",2025-02-28,2025,02,2025-04-24,N-CSR,2025-04-30,No,,,,"GAAP - US",No,No,,,,,,,,,,,2025,"449,800","90,571","540,371",,,,,,,,,,,,,,
"Macquarie ETF Trust",1969995,,,,,"100 INDEPENDENCE","610 MARKET STREET",PHILADELPHIA,Philadelphia,PA,PENNSYLVANIA,"US Mid Atlantic",19106,"(800) 523-1918",,,,,525910,"Open-End Investment Funds",40,566901,"PricewaterhouseCoopers LLP",1,0238,,,,Philadelphia,PA,PENNSYLVANIA,"US Mid Atlantic",2025-03-31,2025,03,2025-05-30,N-CSR/A,2025-06-13,No,,,,"GAAP - US",No,Yes,,,,,,,,,,,2025,"181,000","1,374,878","1,555,878",,,,,,,,,,,,,,
"FT 12290",2063696,,,,,"120 EAST LIBERTY DRIVE, SUITE 400","C/O FIRST TRUST PORTFOLIOS L.P.",WHEATON,DuPage,IL,ILLINOIS,"US Midwest",60187,"(630) 765-8000",,,,,,,33,567925,"Deloitte & Touche LLP",3,0034,,,,Chicago,IL,ILLINOIS,"US Midwest",2025-07-02,2025,6,2025-07-02,487,2025-07-02,No,,,,"GAAP - US",No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fidelity Rutland Square Trust II",1364924,,,,,"245 SUMMER STREET",,BOSTON,Suffolk,MA,MASSACHUSETTS,"US New England",02210,"(617) 563-7000",,,,,525910,"Open-End Investment Funds",40,568949,"PricewaterhouseCoopers LLP",1,0238,,,,Boston,MA,MASSACHUSETTS,"US New England",2025-05-31,2025,05,2025-07-15,N-CSR,2025-07-23,No,,,,"GAAP - US",No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FT 12341",2066120,,,,,"120 EAST LIBERTY DRIVE, SUITE 400","C/O FIRST TRUST PORTFOLIOS L.P.",WHEATON,DuPage,IL,ILLINOIS,"US Midwest",60187,"(630) 765-8000",,,,,,,33,569461,"Deloitte & Touche LLP",3,0034,,,,Chicago,IL,ILLINOIS,"US Midwest",2025-07-30,2025,07,2025-07-30,487,2025-07-30,No,,,,"GAAP - US",No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FIDELITY SALEM STREET TRUST",35315,,,,,"245 SUMMER STREET",,BOSTON,Suffolk,MA,MASSACHUSETTS,"US New England",02210,"(617) 563-7000",,,,,525990,"Other Financial Vehicles",40,570741,"Deloitte & Touche LLP",3,0034,,,,Boston,MA,MASSACHUSETTS,"US New England",2025-06-30,2025,06,2025-08-13,N-CSR,2025-08-22,No,,,,"GAAP - US",No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bridge Builder Trust",1567101,,,,,"P.O. BOX 1920",,DENVER,Denver,CO,COLORADO,"US West",80201,"(414) 287-3700",,,,,525910,"Open-End Investment Funds",40,571509,"PricewaterhouseCoopers LLP",1,0238,,,,Chicago,IL,ILLINOIS,"US Midwest",2025-06-30,2025,06,2025-08-26,N-CSR,2025-09-05,No,,,,"GAAP - US",No,No,,,,,,,,,,,2025,"1,002,050","129,936","1,131,986",,,,,,,,,,,,,,
"FT 12532",2079495,,,,,"120 EAST LIBERTY DRIVE, SUITE 400","C/O FIRST TRUST PORTFOLIOS L.P.",WHEATON,DuPage,IL,ILLINOIS,"US Midwest",60187,"(630) 765-8000",,,,,,,33,572789,"Deloitte & Touche LLP",3,0034,,,,Chicago,IL,ILLINOIS,"US Midwest",2025-09-23,2025,09,2025-09-23,487,2025-09-23,No,,,,"GAAP - US",No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Franklin Solana Trust",2057388,,,,,"ONE FRANKLIN PARKWAY",,"SAN MATEO","San Mateo",CA,CALIFORNIA,"US West",94403,"(650) 312-2000",,,6221,"Commodity Contracts Brokers and Dealers",,,33,573045,"PricewaterhouseCoopers LLP",1,0238,,,,"San Francisco",CA,CALIFORNIA,"US West",2025-09-23,2025,09,2025-09-26,S-1/A,2025-09-26,No,,,,"GAAP - US",No,Yes,,,,,,2025,Since,,,,,,,,,,,,,,,,,,,,,
"TAX EXEMPT BOND FUND OF AMERICA",50142,,,,,"333 S HOPE ST - 55TH FL",,"LOS ANGELES","Los Angeles",CA,CALIFORNIA,"US West",90071,"(213) 486-9200",,,,,525990,"Other Financial Vehicles",40,573301,"PricewaterhouseCoopers LLP",1,0238,,,,"Los Angeles",CA,CALIFORNIA,"US West",2025-07-31,2025,07,2025-09-11,N-CSR,2025-09-30,No,,,,"GAAP - US",No,No,,,,,,,,,,,2025,"115,000","9,000","124,000",,,,,,,,,,,,,,
"BlackRock Funds II",1398078,,,,,"100 BELLEVUE PARKWAY",,WILMINGTON,"New Castle",DE,DELAWARE,"US Mid Atlantic",19809,"(800) 441-7762",,,,,525910,"Open-End Investment Funds",40,573557,"PricewaterhouseCoopers LLP",1,0238,,,,Philadelphia,PA,PENNSYLVANIA,"US Mid Atlantic",2025-07-31,2025,07,2025-09-23,N-CSR,2025-10-03,No,,,,"GAAP - US",No,No,,,,,,,,,,,2025,"136,552","49,800","186,352",,,,,,,,,,,,,,
"FT 12513",2078618,,,,,"120 EAST LIBERTY DRIVE, SUITE 400","C/O FIRST TRUST PORTFOLIOS L.P.",WHEATON,DuPage,IL,ILLINOIS,"US Midwest",60187,"(630) 765-8000",,,,,,,33,574069,"Deloitte & Touche LLP",3,0034,,,,Chicago,IL,ILLINOIS,"US Midwest",2025-10-17,2025,10,2025-10-17,487,2025-10-17,No,,,,"GAAP - US",No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FIDELITY PURITAN TRUST",81205,,,,,"245 SUMMER STREET",,BOSTON,Suffolk,MA,MASSACHUSETTS,"US New England",02210,"(617) 563-7000",,,,,525990,"Other Financial Vehicles",40,574325,"PricewaterhouseCoopers LLP",1,0238,,,,Boston,MA,MASSACHUSETTS,"US New England",2025-08-31,2025,08,2025-10-13,N-CSR,2025-10-23,No,,,,"GAAP - US",No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Eaton Vance Growth Trust",102816,,,,,"ONE POST OFFICE SQUARE",,BOSTON,Suffolk,MA,MASSACHUSETTS,"US New England",02109,"(617) 482-8260",,,,,525990,"Other Financial Vehicles",40,576117,"Deloitte & Touche LLP",3,0034,,,,Boston,MA,MASSACHUSETTS,"US New England",2025-09-30,2025,09,2025-11-21,N-CSR,2025-11-26,No,,,,"GAAP - US",No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FT 12078",2049045,,,,,"C/O FIRST TRUST PORTFOLIOS L.P.","120 EAST LIBERTY DRIVE, SUITE 400",WHEATON,DuPage,IL,ILLINOIS,"US Midwest",60187,"(630) 765-8000",,,,,,,33,557430,"Deloitte & Touche LLP",3,0034,,,,Chicago,IL,ILLINOIS,"US Midwest",2025-03-13,2025,2,2025-03-13,487,2025-03-13,No,,,,"GAAP - US",No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"VICTORY PORTFOLIOS III",908695,,,,,"15935 LA CANTERA PARKWAY","BUILDING TWO","SAN ANTONIO",Bexar,TX,TEXAS,"US Southwest",78256,"(210) 697-3625",,,,,525910,"Open-End Investment Funds",40,563574,"Ernst & Young LLP",2,0042,,,,"San Antonio",TX,TEXAS,"US Southwest",2025-02-28,2025,02,2025-04-24,N-CSR,2025-04-30,No,,,,"GAAP - US",No,Yes,,,,,,,,,,,2025,"449,800","90,571","540,371",,,,,,,,,,,,,,
"CNL Strategic Residential Credit, Inc.",2066337,,,,,"450 SOUTH ORANGE AVE","SUITE 1400",ORLANDO,Orange,FL,FLORIDA,"US Southeast",32801,"(407) 650-1000",,,6798,"Real Estate Investment Trusts",,,34,566134,"KPMG LLP",4,0185,,,,Charlotte,NC,"NORTH CAROLINA","US Southeast",2025-03-31,2025,03,2025-05-22,10-12G,2025-06-02,No,,,,"GAAP - US",No,No,,,,,,2025,Since,,,,,,,,,,,,,,,,,,,,,
"Macquarie ETF Trust",1969995,,,,,"100 INDEPENDENCE","610 MARKET STREET",PHILADELPHIA,Philadelphia,PA,PENNSYLVANIA,"US Mid Atlantic",19106,"(800) 523-1918",,,,,525910,"Open-End Investment Funds",40,566902,"PricewaterhouseCoopers LLP",1,0238,,,,Philadelphia,PA,PENNSYLVANIA,"US Mid Atlantic",2025-03-31,2025,03,2025-05-30,N-CSR/A,2025-06-13,No,,,,"GAAP - US",No,Yes,,,,,,,,,,,2025,"181,000","1,374,878","1,555,878",,,,,,,,,,,,,,
"FT 12289",2063695,,,,,"120 EAST LIBERTY DRIVE, SUITE 400","C/O FIRST TRUST PORTFOLIOS L.P.",WHEATON,DuPage,IL,ILLINOIS,"US Midwest",60187,"(630) 765-8000",,,,,,,33,567926,"Deloitte & Touche LLP",3,0034,,,,Chicago,IL,ILLINOIS,"US Midwest",2025-07-02,2025,6,2025-07-02,487,2025-07-02,No,,,,"GAAP - US",No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FT 12347",2066128,,,,,"120 EAST LIBERTY DRIVE, SUITE 400","C/O FIRST TRUST PORTFOLIOS L.P.",WHEATON,DuPage,IL,ILLINOIS,"US Midwest",60187,"(630) 765-8000",,,,,,,33,569462,"Deloitte & Touche LLP",3,0034,,,,Chicago,IL,ILLINOIS,"US Midwest",2025-07-30,2025,07,2025-07-30,487,2025-07-30,No,,,,"GAAP - US",No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Itau Unibanco Holding S.A.",1132597,ITUB,NYSE,,,"PC. ALFREDO EGYDIO DE SOUZA ARANHA, 100","TORRE AE, 3 ANDAR, CEP 04344-902","SAO PAULO",,D5,BRAZIL,Foreign,00000,55-11-5019-1723,,,6022,"State Commercial Banks",522110,"Commercial Banking",34,569974,"PricewaterhouseCoopers LLP",1,0238,"PricewaterhouseCoopers Auditores Independentes",91,1351,"São Paulo",D5,BRAZIL,Foreign,2025-06-30,2025,06,2025-08-05,6-K,2025-08-07,No,,,,"GAAP - Brazil",No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Legence Corp.",2052568,LGN,"NASDAQ Global Select Market",,,"1601 LAS PLUMAS AVENUE",,"SAN JOSE","Santa Clara",CA,CALIFORNIA,"US West",95133,"(408) 347-3500",,,1700,"Construction - Special Trade Contractors",,,34,570486,"Deloitte & Touche LLP",3,0034,,,,"San Francisco",CA,CALIFORNIA,"US West",2025-03-27,2025,03,2025-04-29,S-1,2025-08-15,No,,,,"GAAP - US",No,Yes,,,,,,2025,Since,,,,,,,,,,,,,,,,,,,,,
"FIDELITY SALEM STREET TRUST",35315,,,,,"245 SUMMER STREET",,BOSTON,Suffolk,MA,MASSACHUSETTS,"US New England",02210,"(617) 563-7000",,,,,525990,"Other Financial Vehicles",40,570742,"Deloitte & Touche LLP",3,0034,,,,Boston,MA,MASSACHUSETTS,"US New England",2025-06-30,2025,06,2025-08-12,N-CSR,2025-08-22,No,,,,"GAAP - US",No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LIMITED TERM TAX EXEMPT BOND FUND OF AMERICA",909427,,,,,"333 S HOPE ST - 55TH FL",,"LOS ANGELES","Los Angeles",CA,CALIFORNIA,"US West",90071,"(213) 486-9200",,,,,525910,"Open-End Investment Funds",40,573302,"PricewaterhouseCoopers LLP",1,0238,,,,"Los Angeles",CA,CALIFORNIA,"US West",2025-07-31,2025,07,2025-09-11,485BPOS,2025-09-30,No,,,,"GAAP - US",No,No,,,,,,,,,,,2025,"70,000","9,000","79,000",,,,,,,,,,,,,,
"Golub Capital Private Income Fund I",2082559,,,,,"1209 ORANGE STREET",,WILMINGTON,"New Castle",DE,DELAWARE,"US Mid Atlantic",19801,"(212) 750-6060",,,,,,,34,574838,"Ernst & Young LLP",2,0042,,,,Chicago,IL,ILLINOIS,"US Midwest",2025-09-30,2025,09,2025-10-29,10-12G,2025-10-31,No,,,,"GAAP - US",No,No,,,,,,2025,Since,,,,,,,,,,,,,,,,,,,,,
"COLUMBIA FUNDS SERIES TRUST I",773757,,,,,"290 CONGRESS STREET",,BOSTON,Suffolk,MA,MASSACHUSETTS,"US New England",02210,"(800) 345-6611",,,,,525990,"Other Financial Vehicles",40,575094,"PricewaterhouseCoopers LLP",1,0238,,,,Minneapolis,MN,MINNESOTA,"US Midwest",2025-08-31,2025,08,2025-10-24,N-CSR,2025-11-06,No,,,,"GAAP - US",No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FT 12079",2049046,,,,,"C/O FIRST TRUST PORTFOLIOS L.P.","120 EAST LIBERTY DRIVE, SUITE 400",WHEATON,DuPage,IL,ILLINOIS,"US Midwest",60187,"(630) 765-8000",,,,,,,33,557431,"Deloitte & Touche LLP",3,0034,,,,Chicago,IL,ILLINOIS,"US Midwest",2025-03-13,2025,2,2025-03-13,487,2025-03-13,No,,,,"GAAP - US",No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DEUTSCHE DWS PORTFOLIO TRUST",88063,,,,,"875 THIRD AVENUE",,"NEW YORK","New York",NY,"NEW YORK","US Mid Atlantic",10022-6225,"(212) 454-4500",,,,,525910,"Open-End Investment Funds",40,559479,"Ernst & Young LLP",2,0042,,,,Boston,MA,MASSACHUSETTS,"US New England",2025-01-31,2025,01,2025-03-20,N-CSR,2025-03-28,No,,,,"GAAP - US",No,No,,,,,,,,,,,2025,"100,531","8,948","109,479",,,,,,,,,,,,,,
"VICTORY PORTFOLIOS III",908695,,,,,"15935 LA CANTERA PARKWAY","BUILDING TWO","SAN ANTONIO",Bexar,TX,TEXAS,"US Southwest",78256,"(210) 697-3625",,,,,525910,"Open-End Investment Funds",40,563575,"Ernst & Young LLP",2,0042,,,,"San Antonio",TX,TEXAS,"US Southwest",2025-02-28,2025,02,2025-04-24,N-CSR,2025-04-30,No,,,,"GAAP - US",No,Yes,,,,,,,,,,,2025,"449,800","90,571","540,371",,,,,,,,,,,,,,
"GROSVENOR REGISTERED MULTI-STRATEGY FUND (TI 1), LLC",1475457,,,,,"900 NORTH MICHIGAN AVENUE","SUITE 1100",CHICAGO,Cook,IL,ILLINOIS,"US Midwest",60611,"(312) 506-6500",,,,,525990,"Other Financial Vehicles",40,566647,"PricewaterhouseCoopers LLP",1,0238,,,,Chicago,IL,ILLINOIS,"US Midwest",2025-03-31,2025,03,2025-05-28,N-CSR,2025-06-09,No,,,,"GAAP - US",No,No,,,,,,,,,,,2025,"44,130",0,"44,130",,,,,,,,,,,,,,
"Macquarie ETF Trust",1969995,,,,,"100 INDEPENDENCE","610 MARKET STREET",PHILADELPHIA,Philadelphia,PA,PENNSYLVANIA,"US Mid Atlantic",19106,"(800) 523-1918",,,,,525910,"Open-End Investment Funds",40,566903,"PricewaterhouseCoopers LLP",1,0238,,,,Philadelphia,PA,PENNSYLVANIA,"US Mid Atlantic",2025-03-31,2025,03,2025-05-30,N-CSR/A,2025-06-13,No,,,,"GAAP - US",No,Yes,,,,,,,,,,,2025,"181,000","1,374,878","1,555,878",,,,,,,,,,,,,,
"FT 12313",2064112,,,,,"120 EAST LIBERTY DRIVE, SUITE 400","C/O FIRST TRUST PORTFOLIOS L.P.",WHEATON,DuPage,IL,ILLINOIS,"US Midwest",60187,"(630) 765-8000",,,,,,,33,567927,"Deloitte & Touche LLP",3,0034,,,,Chicago,IL,ILLINOIS,"US Midwest",2025-07-02,2025,6,2025-07-02,487,2025-07-02,No,,,,"GAAP - US",No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"WESTERN ASSET FUNDS INC",863520,,,,,"100 INTERNATIONAL DRIVE",,BALTIMORE,"Baltimore City",MD,MARYLAND,"US Mid Atlantic",21202,"(410) 454-2760",,,,,525990,"Other Financial Vehicles",40,569463,"PricewaterhouseCoopers LLP",1,0238,,,,Baltimore,MD,MARYLAND,"US Mid Atlantic",2025-05-31,2025,05,2025-07-23,N-CSR,2025-07-30,No,,,,"GAAP - US",No,Yes,,,,,,,,,,,2025,"180,857","30,000","210,857",,,,,,,,,,,,,,
"FIDELITY COVINGTON TRUST",945908,,,,,"245 SUMMER STREET",,BOSTON,Suffolk,MA,MASSACHUSETTS,"US New England",02210,"(617) 563-7000",,,,,525990,"Other Financial Vehicles",40,570743,"Deloitte & Touche LLP",3,0034,,,,Boston,MA,MASSACHUSETTS,"US New England",2025-06-30,2025,06,2025-08-12,N-CSR,2025-08-22,No,,,,"GAAP - US",No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"RiverNorth/DoubleLine Strategic Opportunity Fund, Inc.",1678130,OPP,NYS,,,"360 S. ROSEMARY AVE","SUITE 1420","WEST PALM BEACH","Palm Beach",FL,FLORIDA,"US Southeast",33401,"(312) 832-1440",,,,,525990,"Other Financial Vehicles",40,571511,"KPMG LLP",4,0185,,,,Columbus,OH,OHIO,"US Midwest",2025-06-30,2025,06,2025-08-29,N-CSR,2025-09-05,No,,,,"GAAP - US",No,No,,,,,,,,,,,2025,"88,750","30,800","119,550",,,,,,,,,,,,,,
"Bitwise Solana Staking ETF",2045872,BSOL,,,,"250 MONTGOMERY STREET","SUITE 200","SAN FRANCISCO","San Francisco",CA,CALIFORNIA,"US West",94104,"(415) 707-3663",,,6221,"Commodity Contracts Brokers and Dealers",525910,"Open-End Investment Funds",34,573047,"KPMG LLP",4,0185,,,,"New York",NY,"NEW YORK","US Mid Atlantic",2025-09-17,2025,09,2025-09-24,S-1/A,2025-09-26,No,,,,"GAAP - US",No,No,,,,,,2025,Since,,,"Non-Accelerated Filer and Smaller Reporting Company",,,,,,,,,,,,,,,,,,
"COLUMBIA FUNDS SERIES TRUST I",773757,,,,,"290 CONGRESS STREET",,BOSTON,Suffolk,MA,MASSACHUSETTS,"US New England",02210,"(800) 345-6611",,,,,525990,"Other Financial Vehicles",40,575095,"PricewaterhouseCoopers LLP",1,0238,,,,Minneapolis,MN,MINNESOTA,"US Midwest",2025-08-31,2025,08,2025-10-24,N-CSR,2025-11-06,No,,,,"GAAP - US",No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Advisers Investment Trust",1516523,,,,,"50 S. LASALLE STREET",,CHICAGO,Cook,IL,ILLINOIS,"US Midwest",60603,"(855) 351-4583",,,,,525910,"Open-End Investment Funds",40,576119,"PricewaterhouseCoopers LLP",1,0238,,,,Chicago,IL,ILLINOIS,"US Midwest",2025-09-30,2025,09,2025-11-18,N-CSR,2025-11-26,No,,,,"GAAP - US",No,No,,,,,,,,,,,2025,"69,350","14,155","83,505",,,,,,,,,,,,,,
"FT 12072",2049039,,,,,"C/O FIRST TRUST PORTFOLIOS L.P.","120 EAST LIBERTY DRIVE, SUITE 400",WHEATON,DuPage,IL,ILLINOIS,"US Midwest",60187,"(630) 765-8000",,,,,,,33,550520,"Deloitte & Touche LLP",3,0034,,,,Chicago,IL,ILLINOIS,"US Midwest",2025-02-07,2025,1,2025-02-07,487,2025-02-07,No,,,,"GAAP - US",No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"VICTORY PORTFOLIOS III",908695,,,,,"15935 LA CANTERA PARKWAY","BUILDING TWO","SAN ANTONIO",Bexar,TX,TEXAS,"US Southwest",78256,"(210) 697-3625",,,,,525910,"Open-End Investment Funds",40,563576,"Ernst & Young LLP",2,0042,,,,"San Antonio",TX,TEXAS,"US Southwest",2025-02-28,2025,02,2025-04-24,N-CSR,2025-04-30,No,,,,"GAAP - US",No,Yes,,,,,,,,,,,2025,"449,800","90,571","540,371",,,,,,,,,,,,,,
"Macquarie ETF Trust",1969995,,,,,"100 INDEPENDENCE","610 MARKET STREET",PHILADELPHIA,Philadelphia,PA,PENNSYLVANIA,"US Mid Atlantic",19106,"(800) 523-1918",,,,,525910,"Open-End Investment Funds",40,566904,"PricewaterhouseCoopers LLP",1,0238,,,,Philadelphia,PA,PENNSYLVANIA,"US Mid Atlantic",2025-03-31,2025,03,2025-05-30,N-CSR/A,2025-06-13,No,,,,"GAAP - US",No,Yes,,,,,,,,,,,2025,"181,000","1,374,878","1,555,878",,,,,,,,,,,,,,
"FT 12284",2063690,,,,,"120 EAST LIBERTY DRIVE, SUITE 400","C/O FIRST TRUST PORTFOLIOS L.P.",WHEATON,DuPage,IL,ILLINOIS,"US Midwest",60187,"(630) 765-8000",,,,,,,33,567416,"Deloitte & Touche LLP",3,0034,,,,Chicago,IL,ILLINOIS,"US Midwest",2025-06-25,2025,06,2025-06-25,487,2025-06-25,No,,,,"GAAP - US",No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"McGraw Hill, Inc.",1951070,MH,NYSE,,"Russell 2000","C/O PLATINUM EQUITY ADVISORS, LLC","360 N. CRESCENT DRIVE, SOUTH BUILDING","BEVERLY HILLS","Los Angeles",CA,CALIFORNIA,"US West",90210,"(614) 430-4000",,,2741,"Miscellaneous Publishing",0,,34,568184,"Ernst & Young LLP",2,0042,,,,"New York",NY,"NEW YORK","US Mid Atlantic",2025-03-31,2025,03,2025-06-05,S-1/A,2025-07-08,No,,,2,"GAAP - US",No,Yes,,,,,,2012,Since,,,,,,,,,,,2025-03-31,"2,101,299,000","-85,839,000","-3,731,536,000","5,757,760,000",,,,,,
"PUTNAM NEW JERSEY TAX EXEMPT INCOME FUND",857463,,,,,"100 FEDERAL STREET",,BOSTON,Suffolk,MA,MASSACHUSETTS,"US New England",02110,"(617) 292-1000",,,,,525910,"Open-End Investment Funds",40,569464,"PricewaterhouseCoopers LLP",1,0238,,,,Boston,MA,MASSACHUSETTS,"US New England",2025-05-31,2025,05,2025-07-21,N-CSR,2025-07-30,No,,,,"GAAP - US",No,No,,,,,,,,,,,2025,"41,837","12,762","54,599",,,,,,,,,,,,,,
"FIDELITY COVINGTON TRUST",945908,,,,,"245 SUMMER STREET",,BOSTON,Suffolk,MA,MASSACHUSETTS,"US New England",02210,"(617) 563-7000",,,,,525990,"Other Financial Vehicles",40,570744,"PricewaterhouseCoopers LLP",1,0238,,,,Boston,MA,MASSACHUSETTS,"US New England",2025-06-30,2025,06,2025-08-12,N-CSR,2025-08-22,No,,,,"GAAP - US",No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FT 12479",2073885,,,,,"120 EAST LIBERTY DRIVE, SUITE 400","C/O FIRST TRUST PORTFOLIOS L.P.",WHEATON,DuPage,IL,ILLINOIS,"US Midwest",60187,"(630) 765-8000",,,,,,,33,572792,"Deloitte & Touche LLP",3,0034,,,,Chicago,IL,ILLINOIS,"US Midwest",2025-09-23,2025,09,2025-09-23,487,2025-09-23,No,,,,"GAAP - US",No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Columbia Funds Series Trust II",1352280,,,,,"290 CONGRESS STREET",,BOSTON,Suffolk,MA,MASSACHUSETTS,"US New England",02210,"(800) 345-6611",,,,,525910,"Open-End Investment Funds",40,573560,"PricewaterhouseCoopers LLP",1,0238,,,,Minneapolis,MN,MINNESOTA,"US Midwest",2025-07-31,2025,07,2025-09-22,N-CSR,2025-10-03,No,,,,"GAAP - US",No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FIDELITY COVINGTON TRUST",945908,,,,,"245 SUMMER STREET",,BOSTON,Suffolk,MA,MASSACHUSETTS,"US New England",02210,"(617) 563-7000",,,,,525990,"Other Financial Vehicles",40,574328,"PricewaterhouseCoopers LLP",1,0238,,,,Boston,MA,MASSACHUSETTS,"US New England",2025-08-31,2025,08,2025-10-13,N-CSR,2025-10-23,No,,,,"GAAP - US",No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AMERICAN CENTURY CALIFORNIA TAX FREE & MUNICIPAL FUNDS",717316,,,,,"1665 CHARLESTON RD",,"MOUNTAIN VIEW","Santa Clara",CA,CALIFORNIA,"US West",94043,"(800) 321-8321",,,,,525990,"Other Financial Vehicles",40,574584,"Deloitte & Touche LLP",3,0034,,,,"Kansas City",MO,MISSOURI,"US Southeast",2025-08-31,2025,08,2025-10-16,N-CSR,2025-10-29,No,,,,"GAAP - US",No,No,,,,,,,,,,,2025,"57,960",0,"57,960",,,,,,,,,,,,,,
"FT 12585",2080227,,,,,"120 EAST LIBERTY DRIVE, SUITE 400","C/O FIRST TRUST PORTFOLIOS L.P.",WHEATON,DuPage,IL,ILLINOIS,"US Midwest",60187,"(630) 765-8000",,,,,,,33,574840,"Deloitte & Touche LLP",3,0034,,,,Chicago,IL,ILLINOIS,"US Midwest",2025-10-31,2025,10,2025-10-31,487,2025-10-31,No,,,,"GAAP - US",No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nuveen Enhanced CLO Income Fund",2035726,,,,,"333 WEST WACKER DR.",,CHICAGO,Cook,IL,ILLINOIS,"US Midwest",60606,"(312) 917-8146",,,,,,,40,575096,"PricewaterhouseCoopers LLP",1,0238,,,,Chicago,IL,ILLINOIS,"US Midwest",2025-08-31,2025,08,2025-10-29,N-CSR,2025-11-06,No,,,,"GAAP - US",No,No,,,,,,,,,,,2025,"60,679",0,"60,679",,,,,,,,,,,,,,
